,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No,xm,ym,Clus_Db
15,SHAWNIGAN LAKE,48.647,-123.626,BC,7.1,0.0,3.0,14.0,0.0,-1.5,0.0,0.0,0.0,0.0,158.8,0.0,118.0,0.0,15.0,,,,304.5,0.0,1017230,1820704.8715373692,1347722.8859154424,0
16,SHERINGHAM POINT,48.377,-123.921,BC,9.5,1.0,,14.4,1.0,5.1,0.0,,,,128.6,1.0,,,15.0,,,,228.2,0.0,1017254,1787902.383623388,1302403.0611910373,0
17,VICTORIA UNIVERSITY CS,48.457,-123.305,BC,8.3,1.0,,14.9,1.0,0.0,0.0,,,,82.6,8.0,,,14.0,,,,261.6,0.0,1018598,1856398.4261827515,1315806.0064537274,0
18,VICTORIA GONZALES CS,48.413,-123.325,BC,8.9,0.0,,13.4,0.0,3.4,0.0,,,,71.6,8.0,,,12.0,,,,255.0,0.0,1018611,1854174.5286970583,1308431.7767711626,0
19,VICTORIA HIGHLANDS NORTH,48.538,-123.501,BC,8.1,14.0,,13.3,13.0,1.8,12.0,0.0,13.0,,113.6,13.0,,,14.0,,,,139.3,0.0,1018618,1834604.2308229543,1329398.023987188,0
20,VICTORIA INTL A,48.647,-123.426,BC,7.8,0.0,,14.4,0.0,-0.5,0.0,0.0,0.0,,112.0,0.0,,,14.0,,,,285.7,0.0,1018621,1842943.8463943056,1347722.8859154424,0
21,WILLIAM HEAD,48.34,-123.539,BC,9.2,1.0,3.0,14.0,1.0,3.5,1.0,0.0,1.0,,83.9,1.0,,0.0,14.0,,,,238.6,0.0,1018935,1830378.8256001368,1296211.321936638,0
22,BALLENAS ISLAND,49.35,-124.16,BC,8.1,0.0,,13.7,0.0,4.0,0.0,,,,103.0,2.0,,,12.0,,,,277.5,0.0,1020590,1761326.8086693503,1466872.881643367,0
23,CAMPBELL RIVER A,49.952,-125.273,BC,6.3,1.0,3.0,14.4,1.0,-5.0,1.0,0.0,1.0,,154.2,1.0,,0.0,15.0,,,,317.2,0.0,1021261,1637566.9135905001,1570265.1510851951,0
24,CAPE MUDGE,49.998,-125.195,BC,7.9,2.0,3.3,16.0,2.0,1.5,2.0,0.0,2.0,,73.6,2.0,,0.0,12.0,,,,263.1,0.0,1021330,1646240.1137847055,1578218.4886279032,0
25,CHATHAM POINT,50.333,-125.446,BC,7.8,1.0,3.2,12.0,1.0,1.5,1.0,0.0,1.0,,192.0,1.0,,0.0,14.0,,,,276.3,0.0,1021480,1618330.20033925,1636370.385703669,0
26,CHROME ISLAND,49.472,-124.683,BC,8.3,0.0,,14.0,0.0,2.5,0.0,0.0,0.0,,234.8,0.0,,0.0,16.0,,,,270.4,0.0,1021500,1703171.889418461,1487723.1603350397,0
27,COMOX A,49.717,-124.9,BC,7.4,0.0,3.1,13.5,0.0,-1.1,0.0,0.0,0.0,0.0,173.3,0.0,152.0,,11.0,,,,296.9,0.0,1021830,1679042.6016986852,1529752.0347931525,0
28,CORTES ISLAND TIBER BAY,50.071,-124.949,BC,8.5,14.0,,14.4,14.0,-1.5,14.0,0.0,14.0,,100.0,14.0,,0.0,12.0,,,,132.8,0.0,1021960,1673594.0528587366,1590855.724315947,0
29,COURTENAY GRANTHAM,49.763,-124.999,BC,7.6,6.0,,13.5,6.0,0.5,6.0,0.0,6.0,,140.1,6.0,,,13.0,,,,229.2,0.0,1021988,1668034.309144503,1537666.7859228859,0
30,COURTENAY PUNTLEDGE,49.686,-125.033,BC,6.9,7.0,,16.0,4.0,-3.0,4.0,0.0,4.0,,152.1,4.0,,0.0,13.0,,,,232.6,0.0,1021989,1664253.6834188232,1524422.4087125435,0
31,ENTRANCE ISLAND,49.209,-123.811,BC,8.3,0.0,,13.2,0.0,4.5,0.0,,,,84.4,0.0,,,12.0,,,,271.1,0.0,1022689,1800133.8197947028,1442839.739227268,0
32,FANNY ISLAND,50.454,-125.993,BC,8.3,0.0,,12.5,0.0,2.4,0.0,,,,167.6,7.0,,,15.0,,,,272.0,0.0,1022795,1557506.6041055298,1657475.2469541617,0
33,HERIOT BAY SE,50.099,-125.203,BC,7.4,4.0,,13.0,4.0,0.5,4.0,0.0,4.0,,164.8,4.0,,0.0,15.0,,,,254.2,0.0,1023462,1645350.5547904272,1595707.9870785857,0
34,LITTLE QUALICUM HATCHERY,49.353,-124.512,BC,6.6,0.0,2.9,13.5,0.0,-4.0,0.0,0.0,0.0,0.0,167.9,0.0,147.0,0.0,13.0,,,,319.1,0.0,1024638,1722186.212921142,1467384.9726371393,0
35,MUD BAY,49.471,-124.794,BC,7.5,1.0,3.5,14.0,1.0,-1.0,0.0,0.0,0.0,0.0,299.4,0.0,160.0,0.0,15.0,,,,283.0,0.0,1025240,1690829.2583728624,1487552.0455463724,0
36,MYRA CREEK,49.576,-125.606,BC,5.8,4.0,,12.0,2.0,-1.5,2.0,0.0,2.0,,437.2,2.0,,0.0,15.0,,,,292.0,0.0,1025254,1600539.0204537015,1505538.2085645404,0
37,NANAIMO A,49.054,-123.87,BC,7.4,0.0,3.2,14.9,0.0,-2.9,0.0,0.0,0.0,0.0,149.9,0.0,119.0,0.0,13.0,,,,295.5,0.0,1025370,1793573.322211907,1416499.2807007385,0
38,PORT HARDY A,50.681,-127.367,BC,6.7,0.0,,14.9,0.0,-2.9,0.0,0.0,0.0,,118.4,0.0,,,15.0,,,,316.2,0.0,1026271,1404724.846838377,1697214.7690521944,0
39,QUALICUM BEACH AIRPORT,49.337,-124.394,BC,7.3,0.0,,14.8,0.0,-1.6,0.0,,,,125.0,0.0,,0.0,12.0,,,,299.5,0.0,1026562,1735307.208086734,1464654.181450434,0
40,QUALICUM R FISH RESEARCH,49.394,-124.617,BC,7.4,2.0,3.3,14.5,2.0,-1.0,2.0,0.0,2.0,,171.2,2.0,,0.0,11.0,,,,274.6,0.0,1026565,1710510.7511212502,1474386.6819359828,0
41,QUINSAM RIVER HATCHERY,50.016,-125.304,BC,7.0,0.0,3.2,15.0,0.0,-2.5,0.0,0.0,0.0,0.0,165.6,0.0,103.0,0.0,16.0,,,,308.6,0.0,1026639,1634119.8724876745,1581332.7354114857,0
42,SISTERS ISLAND,49.487,-124.435,BC,8.6,0.0,,14.2,0.0,4.5,0.0,,,,,,,,,,,,263.2,0.0,1027403,1730748.2182410622,1490290.3014748022,0
43,ENTRANCE ISLAND,49.209,-123.809,BC,8.3,6.0,,13.0,6.0,3.5,6.0,0.0,6.0,,107.2,6.0,,0.0,11.0,,,,213.6,0.0,102BFHH,1800356.2095432733,1442839.739227268,0
44,ALBERNI ROBERTSON CREEK,49.337,-124.982,BC,7.2,3.0,4.1,18.0,3.0,-5.0,3.0,0.0,3.0,,139.4,3.0,,0.0,11.0,,,,271.0,0.0,1030230,1669924.622007342,1464654.181450434,-1
45,CAPE BEALE LIGHT,48.786,-125.216,BC,9.5,1.0,3.5,15.0,1.0,4.5,1.0,0.0,1.0,,220.4,1.0,,0.0,14.0,,,,228.2,0.0,1031316,1643905.0214247273,1371148.8418064397,0
46,ESTEVAN POINT,49.383,-126.543,BC,8.9,0.0,2.9,13.5,0.0,2.0,0.0,0.0,0.0,0.0,237.3,0.0,76.0,0.0,15.0,,,,255.6,0.0,1032730,1496349.423248954,1472507.6012151614,0
47,ESTEVAN POINT CS,49.383,-126.543,BC,8.7,0.0,,14.0,0.0,2.3,0.0,,,,223.3,0.0,,,16.0,,,,260.1,0.0,1032731,1496349.423248954,1472507.6012151614,0
48,GOLD RIVER TOWNSITE,49.779,-126.055,BC,7.5,0.0,4.2,16.0,0.0,-3.0,0.0,0.0,0.0,0.0,286.2,0.0,100.0,0.0,15.0,,,,294.5,0.0,1033232,1550612.5218998783,1540421.5029566893,0
49,LENNARD ISLAND,49.111,-125.923,BC,9.0,2.0,,14.0,2.0,4.0,2.0,0.0,2.0,,192.1,2.0,,0.0,12.0,,,,234.4,0.0,1034600,1565290.2453054567,1426176.201579905,0
50,NITINAT RIVER HATCHERY,48.859,-124.655,BC,8.5,2.0,3.7,16.0,2.0,-1.5,2.0,0.0,2.0,,406.6,2.0,,0.0,15.0,,,,248.1,0.0,1035612,1706285.3458984327,1383477.6731557008,0
51,NOOTKA LIGHTSTATION,49.6,-126.617,BC,9.1,0.0,3.3,13.0,0.0,4.0,0.0,0.0,0.0,0.0,274.8,0.0,84.0,0.0,15.0,,,,248.5,0.0,1035614,1488121.0025518877,1509654.762516302,0
52,PACHENA POINT,48.723,-125.097,BC,9.0,0.0,3.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,279.8,0.0,94.0,0.0,17.0,,,,251.6,0.0,1035940,1657137.2114646044,1360523.3010911187,0
53,PORT ALBERNI COX LAKE,49.202,-124.752,BC,7.9,0.0,4.1,14.5,0.0,-2.0,0.0,0.0,0.0,0.0,311.3,0.0,144.0,0.0,15.0,,,,281.6,0.0,1036208,1695499.443092819,1441648.3921968862,0
54,PORT ALICE,50.386,-127.455,BC,8.6,0.0,3.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,71.0,0.0,16.0,,,,262.2,0.0,1036240,1394939.6979013255,1645608.0352083333,0
55,QUATSINO,50.534,-127.653,BC,7.4,6.0,2.5,12.0,6.0,0.0,6.0,0.0,6.0,,102.8,6.0,,,11.0,,,,232.8,0.0,1036570,1372923.1127929578,1671458.5317867314,0
56,QUATSINO LIGHTSTATION,50.441,-128.033,BC,9.5,0.0,3.3,16.0,0.0,3.5,0.0,0.0,0.0,0.0,163.8,0.0,73.0,0.0,17.0,,,,238.4,0.0,1036572,1330669.060564781,1655205.1975684417,0
57,PORT ALBERNI (AUT),49.317,-124.927,BC,7.0,2.0,,14.2,2.0,-3.4,1.0,,,,155.4,21.0,,,7.0,,,,286.1,0.0,1036B06,1676040.3400929987,1461241.940557273,0
58,SARTINE ISLAND (AUT),50.821,-128.908,BC,8.4,0.0,,12.0,0.0,5.3,0.0,,,,138.8,2.0,,,15.0,,,,268.1,0.0,1037090,1233373.545565685,1721819.636006522,0
59,SOLANDER ISLAND (AUT),50.112,-127.94,BC,9.0,0.0,,13.9,0.0,4.9,0.0,,,,63.2,2.0,,,13.0,,,,253.4,0.0,1037553,1341010.1838732553,1597961.7873597397,0
60,TAHSIS VILLAGE NORTH,49.932,-126.654,BC,7.8,9.0,,14.0,9.0,-2.0,9.0,0.0,9.0,,395.0,9.0,,,13.0,,,,193.6,0.0,1037899,1484006.7922033553,1566809.5477843508,0
61,TOFINO A,49.082,-125.773,BC,8.5,0.0,3.1,14.8,0.0,-0.5,0.0,0.0,0.0,0.0,233.8,0.0,70.0,0.0,15.0,,,,265.4,0.0,1038205,1581969.4764481597,1421251.4679573933,0
62,UCLUELET KENNEDY CAMP,48.945,-125.527,BC,8.7,0.0,3.2,15.0,0.0,-1.5,0.0,0.0,0.0,0.0,250.2,0.0,71.0,0.0,16.0,,,,260.2,0.0,1038332,1609323.4155221905,1398025.1407916257,0
63,ZEBALLOS MURAUDE CREEK,50.053,-126.779,BC,8.2,0.0,,16.5,0.0,0.0,0.0,0.0,0.0,,424.6,0.0,,0.0,16.0,,,,273.6,0.0,1039035,1470107.4329177702,1587737.9084256785,0
64,GIBSONS GOWER POINT,49.386,-123.541,BC,8.4,0.0,3.2,13.0,0.0,3.5,0.0,0.0,0.0,0.0,125.4,0.0,101.0,0.0,15.0,,,,269.3,0.0,1043152,1830156.435851568,1473020.0360518163,0
65,MERRY ISLAND LIGHTSTATION,49.468,-123.913,BC,8.4,0.0,2.7,13.5,0.0,3.0,0.0,0.0,0.0,0.0,105.6,0.0,115.0,0.0,11.0,,,,269.7,0.0,1045100,1788791.9426176664,1487038.722138457,0
66,HOWE SOUND - PAM ROCKS,49.488,-123.299,BC,8.9,0.0,,14.1,0.0,4.9,0.0,,,,94.8,0.0,,,12.0,,,,256.0,0.0,10459NN,1857065.5954284596,1490461.4721802697,0
67,PORT MELLON,49.526,-123.496,BC,8.2,0.0,,14.6,0.0,2.1,0.0,,,,477.0,0.0,,0.0,15.0,,,,274.7,0.0,1046332,1835160.2051943787,1496968.5516457204,0
68,POWELL RIVER A,49.834,-124.5,BC,7.1,0.0,3.2,12.6,0.0,-3.1,0.0,0.0,0.0,0.0,150.6,0.0,138.0,0.0,14.0,,,,304.5,0.0,1046391,1723520.5514125582,1549897.7866127677,0
69,POWELL RIVER,49.835,-124.497,BC,6.8,0.0,,12.3,0.0,-2.6,0.0,,,,128.4,1.0,,0.0,13.0,,,,314.1,0.0,1046392,1723854.1360354123,1550070.1823922275,0
70,SECHELT AUT,49.458,-123.715,BC,7.4,0.0,,14.2,0.0,-1.6,0.0,,,,122.4,0.0,,0.0,13.0,,,,297.2,0.0,1047172,1810808.5277260325,1485327.871098944,0
71,SQUAMISH AIRPORT,49.783,-123.161,BC,7.1,0.0,,16.0,0.0,-2.2,0.0,,,,302.8,2.0,,0.0,11.0,,,,304.6,0.0,10476F0,1872410.4880797463,1541110.324335237,0
72,CAPE ST JAMES,51.936,-131.016,BC,8.2,0.0,,12.0,0.0,3.5,0.0,,,,,,,,,,,,273.7,0.0,1051351,998974.7505735767,1920467.1414457234,1
73,KINDAKUN ROCKS (AUT),53.316,-132.772,BC,8.2,0.0,,13.9,0.0,2.1,0.0,,,,75.8,5.0,,,10.0,,,,273.4,0.0,1054222,803716.5513296765,2173286.7284003673,1
74,LANGARA,54.255,-133.058,BC,6.3,0.0,2.2,11.0,0.0,-0.2,0.0,7.6,0.0,58.0,154.0,0.0,110.0,0.0,17.0,,,,327.9,0.0,1054500,771914.8172842576,2350022.9674932146,1
75,LANGARA ISLAND RCS,54.255,-133.058,BC,6.1,0.0,,10.9,0.0,-0.2,0.0,,,,142.9,3.0,,,13.0,,,,332.3,0.0,1054503,771914.8172842576,2350022.9674932146,1
76,MASSET A,54.0,-132.167,BC,5.6,0.0,,12.9,0.0,-3.2,0.0,0.2,0.0,,105.4,0.0,,0.0,13.0,,,,346.0,0.0,1054925,870989.4502719075,2301634.5640924443,1
77,ROSE SPIT (AUT),54.159,-131.661,BC,6.6,0.0,,11.1,0.0,-1.1,0.0,,,,62.6,20.0,,,6.0,,,,319.5,0.0,1056869,927254.0566599562,2331771.180925154,1
78,SANDSPIT A,53.254,-131.813,BC,6.5,0.0,2.4,12.5,0.0,-1.0,0.0,0.0,0.0,0.0,98.4,0.0,75.0,0.0,13.0,,,,321.7,0.0,1057050,910352.4357686861,2161754.9790120265,1
79,SANDSPIT AIRPORT AUTO,53.25,-131.813,BC,6.6,0.0,,12.3,0.0,-0.5,0.0,,,,67.8,15.0,,,7.0,,,,318.0,0.0,1057051,910352.4357686861,2161011.569348026,1
80,SANDSPIT,53.254,-131.814,BC,6.6,2.0,,12.3,2.0,-0.6,2.0,,,,0.0,3.0,,,0.0,,,,297.0,0.0,1057052,910241.240894401,2161754.9790120265,1
81,ADDENBROKE ISLAND,51.604,-127.864,BC,7.7,0.0,2.7,14.0,0.0,2.0,0.0,0.0,0.0,0.0,258.2,0.0,97.0,0.0,17.0,,,,289.4,0.0,1060080,1349460.9943188904,1860810.1665144758,-1
82,BELLA BELLA,52.185,-128.157,BC,5.5,1.0,,14.1,1.0,-3.9,1.0,,,,233.9,1.0,,,14.0,,,,337.8,0.0,1060815,1316880.896153478,1965500.1747233765,-1
83,BELLA COOLA A,52.388,-126.596,BC,4.7,0.0,2.6,14.5,0.0,-3.5,0.0,6.0,0.0,35.0,87.2,0.0,100.0,0.0,12.0,,,,373.2,0.0,1060841,1490456.0949118661,2002400.803187362,-1
84,BOAT BLUFF,52.643,-128.524,BC,7.2,0.0,3.3,13.0,0.0,2.0,0.0,0.0,0.0,0.0,516.8,0.0,121.0,0.0,17.0,,,,302.9,0.0,1060901,1276072.3772910011,2048995.0777288582,1
85,BONILLA ISLAND,53.493,-130.638,BC,7.7,0.0,2.7,12.5,0.0,2.0,0.0,0.0,0.0,0.0,183.6,0.0,104.0,0.0,14.0,,,,287.9,0.0,1060902,1041006.4130531846,2206300.4644409483,1
86,BONILLA ISLAND (AUT),53.493,-130.639,BC,7.4,0.0,,11.1,0.0,2.0,0.0,,,,114.2,2.0,,,11.0,,,,298.0,0.0,1060R0K,1040895.2181788994,2206300.4644409483,1
87,CATHEDRAL POINT (AUT),52.187,-127.471,BC,5.8,0.0,,11.0,0.0,0.3,0.0,,,,102.4,15.0,,,6.0,,,,341.5,0.0,1061458,1393160.57991277,1965862.9046368217,-1
88,CUMSHEWA ISLAND,53.03,-131.602,BC,7.6,0.0,,12.8,0.0,2.2,0.0,,,,,,,,,,,,290.4,0.0,1062251,933814.5542427521,2120230.607645305,1
89,DRYAD POINT,52.185,-128.112,BC,7.0,0.0,2.3,14.5,0.0,2.0,0.0,0.0,0.0,0.0,211.0,0.0,100.0,0.0,17.0,,,,307.7,0.0,1062544,1321884.6654962904,1965500.1747233765,-1
90,EGG ISLAND,51.247,-127.835,BC,7.3,0.0,2.2,13.0,0.0,1.0,0.0,0.0,0.0,0.0,156.2,0.0,72.0,0.0,17.0,,,,299.4,0.0,1062646,1352685.6456731472,1797145.664040395,0
91,GREEN ISLAND,54.569,-130.708,BC,5.8,0.0,2.0,10.0,0.0,0.5,0.0,0.4,0.0,4.0,243.6,0.0,140.0,0.0,15.0,,,,341.6,0.0,1063298,1033222.7718532577,2410019.952037248,1
92,GREY ISLET (AUT),54.58,-130.698,BC,5.8,0.0,,10.2,0.0,0.5,0.0,,,,23.0,14.0,,,6.0,,,,342.6,0.0,1063303,1034334.7205961035,2412130.1159451623,1
93,HERBERT ISLAND (AUT),50.94,-127.632,BC,8.9,0.0,,12.5,0.0,4.6,0.0,,,,48.6,0.0,,,14.0,,,,253.5,0.0,1063461,1375258.2051529363,1742791.8392572766,0
94,HOLLAND ROCK,54.172,-130.361,BC,6.8,1.0,,12.1,1.0,1.2,1.0,,,,34.8,13.0,,,10.0,,,,303.5,0.0,1063496,1071807.3932300431,2334240.2959665833,1
95,IVORY ISLAND,52.27,-128.407,BC,7.2,0.0,2.3,13.0,0.0,2.0,0.0,0.0,0.0,0.0,246.8,0.0,127.0,0.0,16.0,,,,303.4,0.0,1063690,1289082.1775823077,1980930.6075248579,1
96,KEMANO,53.563,-127.943,BC,1.7,0.0,1.3,16.5,0.0,-5.0,0.0,156.0,0.0,455.0,249.4,0.0,146.0,40.0,17.0,,,,456.5,0.0,1064020,1340676.5992504011,2219394.764971258,-1
97,KITIMAT TOWNSITE,54.054,-128.634,BC,1.4,4.0,1.1,7.0,4.0,-5.0,4.0,8.0,4.0,,112.0,4.0,,0.0,9.0,,,,399.0,0.0,1064320,1263840.9411196879,2311856.7022145092,-1
98,KITIMAT 2,54.01,-128.705,BC,2.2,11.0,1.3,10.5,10.0,-9.0,11.0,161.0,10.0,,190.9,10.0,,0.0,8.0,,,,269.3,0.0,1064321,1255946.1050454725,2303526.551555411,-1
99,LUCY ISLAND LIGHTSTATION,54.296,-130.609,BC,6.9,0.0,,11.3,0.0,0.8,0.0,,,,,,,,,,,,311.7,0.0,1064728,1044231.06440744,2357830.9497116283,1
100,PRINCE RUPERT,54.286,-130.445,BC,5.5,0.0,,11.9,0.0,-2.6,0.0,,,,186.5,0.0,,,15.0,,,,349.5,0.0,1066482,1062467.0237901295,2355925.847340882,1
101,STEWART A,55.936,-129.985,BC,0.8,0.0,1.9,9.4,0.0,-11.5,0.0,47.8,0.0,56.0,105.4,0.0,77.0,20.0,11.0,,,,482.6,0.0,1067742,1113616.6659610805,2676743.485561991,-1
102,TERRACE PCC,54.502,-128.625,BC,1.4,0.0,1.2,11.0,0.0,-10.5,0.0,38.4,0.0,131.0,77.1,0.0,83.0,2.0,9.0,,,,464.9,0.0,1068131,1264841.6949882484,2397179.416188405,-1
103,TERRACE A,54.469,-128.578,BC,0.3,0.0,,8.3,0.0,-8.0,0.0,179.3,0.0,,191.5,1.0,,,11.0,,,,495.3,0.0,1068134,1270067.8540796281,2390862.7102909386,-1
104,TRIPLE ISLAND,54.295,-130.88,BC,7.2,0.0,,12.0,0.0,1.5,0.0,0.0,0.0,,126.8,0.0,,0.0,14.0,,,,302.7,0.0,1068250,1014097.2534762928,2357640.418657042,1
105,KITIMAT HATCHERY,54.044,-128.682,BC,2.1,11.0,,10.5,11.0,-7.0,11.0,102.3,11.0,,205.0,11.0,,36.0,9.0,,,,269.7,0.0,106D289,1258503.587154023,2309962.7119056312,-1
106,EQUITY SILVER,54.199,-126.277,BC,-5.6,0.0,1.1,8.5,0.0,-18.0,0.0,79.5,0.0,196.0,86.5,0.0,212.0,0.0,11.0,,,,661.2,0.0,1072692,1525927.2598086798,2339370.9385044063,-1
107,HOUSTON,54.396,-126.668,BC,-1.9,7.0,,9.5,7.0,-16.0,7.0,5.0,8.0,,5.0,8.0,,0.0,1.0,,,,417.2,0.0,1073615,1482450.0639633688,2376907.469502518,-1
108,NASS CAMP,55.238,-129.03,BC,-0.7,0.0,1.6,10.5,0.0,-13.5,0.0,71.0,0.0,197.0,94.8,0.0,137.0,30.0,12.0,,,,524.7,0.0,1075384,1219807.7709029524,2539406.547055671,-1
109,SMITHERS,54.825,-127.183,BC,-2.7,0.0,,8.4,0.0,-17.0,0.0,,,,40.4,0.0,,,5.0,,,,580.5,0.0,1077499,1425184.7037067579,2459277.588964328,-1
110,SMITHERS A,54.825,-127.183,BC,-2.4,0.0,2.0,10.1,0.0,-17.4,0.0,41.0,0.0,175.0,52.4,0.0,224.0,25.0,9.0,,,,570.6,0.0,1077500,1425184.7037067579,2459277.588964328,-1
111,SMITHERS AIRPORT AUTO,54.824,-127.189,BC,-2.7,0.0,,8.9,0.0,-17.3,0.0,,,,45.2,0.0,,35.0,12.0,,,,578.9,0.0,1077501,1424517.5344610515,2459084.57007002,-1
112,SUSKWA VALLEY,55.289,-127.171,BC,-3.1,1.0,0.3,8.0,1.0,-14.5,1.0,28.3,1.0,,41.7,1.0,,28.0,7.0,,,,570.8,0.0,107G879,1426519.0421981742,2549359.0008931234,-1
113,OOTSA L SKINS L SPILLWAY,53.772,-125.997,BC,-4.8,0.0,1.4,8.5,0.0,-19.0,0.0,72.4,0.0,343.0,79.0,0.0,332.0,,12.0,,,,638.2,0.0,1085835,1557061.8246083907,2258620.0087108426,-1
114,OOTSA LAKESKINS LAKE CLIMATE,53.772,-125.997,BC,-4.2,0.0,,6.8,0.0,-18.8,0.0,,,,74.7,3.0,,57.0,10.0,,,,622.3,0.0,1085836,1557061.8246083907,2258620.0087108426,-1
115,PEMBERTON AIRPORT CS,50.306,-122.734,BC,4.5,3.0,,14.8,3.0,-3.6,2.0,,,,113.8,3.0,,0.0,10.0,,,,337.3,0.0,1086082,1919890.6993993057,1631668.3749583112,0
116,PUNTZI MOUNTAIN (AUT),52.114,-124.136,BC,-3.2,0.0,,11.1,0.0,-21.3,0.0,,,,20.7,0.0,,33.0,7.0,,,,592.6,0.0,1086558,1763995.4856521827,1952633.8181052487,-1
117,TATLAYOKO LAKE RCS,51.675,-124.403,BC,1.0,0.0,,12.9,0.0,-14.7,0.0,,,,39.9,0.0,,0.0,6.0,,,,476.4,0.0,1088015,1734306.4542181718,1873531.3148959307,-1
118,BARKERVILLE,53.069,-121.515,BC,-2.0,0.0,3.8,8.0,0.0,-16.0,0.0,53.9,0.0,94.0,75.8,0.0,125.0,90.0,14.0,,,,560.6,0.0,1090660,2055437.2511523315,2127444.7506673224,2
119,BURNS LAKE DECKER LAKE,54.383,-125.959,BC,-4.6,0.0,,7.4,0.0,-19.4,0.0,,,,34.4,0.0,,63.0,9.0,,,,632.0,0.0,1091174,1561287.229831208,2374424.895279213,-1
120,CRESCENT SPUR,53.6,-120.7,BC,-0.8,2.0,,9.0,2.0,-14.5,2.0,47.6,2.0,,65.0,2.0,,22.0,9.0,,,,489.7,0.0,1092120,2146061.0736943465,2226324.7935777865,2
121,FORT ST JAMES,54.455,-124.286,BC,-4.5,13.0,2.3,7.5,13.0,-21.0,13.0,9.0,13.0,,26.2,13.0,,,5.0,,,,337.8,0.0,1092970,1747316.25450948,2388184.4348096997,-1
